,date,team1,team2,prob1,prob2,gameweek
0,2019-08-09,9,13,0.8801,0.0252,0
1,2019-08-10,18,10,0.0997,0.7393,0
2,2019-08-10,6,7,0.3564,0.3793,0
3,2019-08-10,4,15,0.445,0.2956,0
4,2019-08-10,0,14,0.5512,0.2114,0
5,2019-08-10,17,3,0.5133,0.2371,0
6,2019-08-10,16,2,0.7290000000000001,0.0906,0
7,2019-08-11,12,1,0.3059,0.4471,0
8,2019-08-11,8,19,0.4683,0.2637,0
9,2019-08-11,11,5,0.3664,0.3843,0
10,2019-08-17,1,4,0.6384,0.1557,1
11,2019-08-17,7,17,0.589,0.1792,1
12,2019-08-17,13,12,0.3873,0.3297,1
13,2019-08-17,3,18,0.3963,0.3373,1
14,2019-08-17,2,0,0.397,0.34700000000000003,1
15,2019-08-17,15,9,0.14,0.6734,1
16,2019-08-17,10,16,0.6913,0.1201,1
17,2019-08-18,14,6,0.3675,0.3583,1
18,2019-08-18,5,8,0.6168,0.1593,1
19,2019-08-19,19,11,0.3177,0.4225,1
20,2019-08-23,2,7,0.3039,0.4214,2
21,2019-08-24,13,5,0.2096,0.5547,2
22,2019-08-24,3,15,0.405,0.3236,2
23,2019-08-24,14,8,0.3262,0.3901,2
24,2019-08-24,11,6,0.6352,0.1538,2
25,2019-08-24,17,18,0.4507,0.3003,2
26,2019-08-24,9,1,0.6648,0.1478,2
27,2019-08-25,0,10,0.0899,0.7651,2
28,2019-08-25,19,4,0.4908,0.2421,2
29,2019-08-25,16,12,0.6953,0.1092,2
30,2019-08-31,15,11,0.2847,0.4696,3
31,2019-08-31,12,17,0.4637,0.2781,3
32,2019-08-31,8,0,0.5334,0.2292,3
33,2019-08-31,18,13,0.5156,0.2414,3
34,2019-08-31,5,14,0.7425,0.0824,3
35,2019-08-31,6,2,0.5031,0.2404,3
36,2019-08-31,10,3,0.9146,0.0133,3
37,2019-08-31,4,9,0.1445,0.664,3
38,2019-09-01,7,19,0.5148,0.2115,3
39,2019-09-01,1,16,0.3918,0.3636,3
40,2019-09-14,9,12,0.8504,0.0339,4
41,2019-09-14,16,6,0.655,0.139,4
42,2019-09-14,11,8,0.5508,0.2084,4
43,2019-09-14,3,4,0.413,0.3114,4
44,2019-09-14,14,15,0.397,0.3284,4
45,2019-09-14,19,5,0.2857,0.4609,4
46,2019-09-14,13,10,0.0712,0.7928,4
47,2019-09-15,0,7,0.3608,0.3866,4
48,2019-09-15,17,1,0.2921,0.4793,4
49,2019-09-16,2,18,0.3959,0.3449,4
50,2019-09-20,15,0,0.4506,0.3054,5
51,2019-09-21,8,16,0.3223,0.414,5
52,2019-09-21,4,13,0.4875,0.2541,5
53,2019-09-21,7,14,0.5826,0.1711,5
54,2019-09-21,10,17,0.892,0.0273,5
55,2019-09-21,12,3,0.473,0.2498,5
56,2019-09-22,6,19,0.4394,0.2909,5
57,2019-09-22,18,11,0.2788,0.4758,5
58,2019-09-22,1,2,0.6588,0.142,5
59,2019-09-22,5,9,0.3013,0.4648,5
60,2019-09-28,14,9,0.1093,0.7113,6
61,2019-09-28,19,17,0.4945,0.2603,6
62,2019-09-28,6,13,0.5116,0.2374,6
63,2019-09-28,0,18,0.4479,0.3122,6
64,2019-09-28,2,4,0.4102,0.3157,6
65,2019-09-28,16,15,0.6654,0.1351,6
66,2019-09-28,5,3,0.705,0.106,6
67,2019-09-28,7,10,0.1276,0.6904,6
68,2019-09-29,8,12,0.5619,0.1794,6
69,2019-09-30,11,1,0.4857,0.2809,6
70,2019-10-05,3,16,0.2294,0.5279,7
71,2019-10-05,4,7,0.3768,0.35200000000000004,7
72,2019-10-05,17,14,0.4898,0.2563,7
73,2019-10-05,13,2,0.4479,0.2871,7
74,2019-10-05,9,8,0.7015,0.1104,7
75,2019-10-05,18,6,0.4541,0.289,7
76,2019-10-06,10,19,0.8938,0.0226,7
77,2019-10-06,15,5,0.2411,0.5263,7
78,2019-10-06,1,0,0.6415,0.1734,7
79,2019-10-06,12,11,0.2735,0.4531,7
80,2019-10-19,7,18,0.5362,0.2182,8
81,2019-10-19,0,13,0.5449,0.2318,8
82,2019-10-19,8,4,0.5723,0.1791,8
83,2019-10-19,19,15,0.4679,0.263,8
84,2019-10-19,16,17,0.6352,0.1645,8
85,2019-10-19,2,3,0.4381,0.2921,8
86,2019-10-19,5,12,0.7279,0.0928,8
87,2019-10-19,6,10,0.1049,0.7376,8
88,2019-10-20,11,9,0.2227,0.5423,8
89,2019-10-21,14,1,0.2465,0.511,8
90,2019-10-25,15,8,0.36,0.3679,9
91,2019-10-26,10,2,0.9164,0.0194,9
92,2019-10-26,3,7,0.3508,0.3694,9
93,2019-10-26,18,14,0.4852,0.2471,9
94,2019-10-26,17,0,0.44799999999999995,0.3095,9
95,2019-10-26,4,5,0.2214,0.5436,9
96,2019-10-27,12,19,0.3958,0.3081,9
97,2019-10-27,1,6,0.6186,0.1726,9
98,2019-10-27,9,16,0.6837,0.1359,9
99,2019-10-27,13,11,0.2686,0.4686,9
100,2019-11-02,0,11,0.311,0.4257,10
101,2019-11-02,2,9,0.1075,0.7317,10
102,2019-11-02,1,19,0.5827,0.1923,10
103,2019-11-02,18,12,0.4875,0.2499,10
104,2019-11-02,10,15,0.9179999999999999,0.0188,10
105,2019-11-02,3,13,0.5169,0.2333,10
106,2019-11-02,14,4,0.3877,0.3281,10
107,2019-11-02,17,5,0.2182,0.5584,10
108,2019-11-03,6,8,0.2928,0.4455,10
109,2019-11-03,7,16,0.3517,0.3949,10
110,2019-11-08,13,17,0.363,0.3814,11
111,2019-11-09,5,6,0.7170000000000001,0.1056,11
112,2019-11-09,16,14,0.6792,0.1215,11
113,2019-11-09,15,7,0.349,0.3842,11
114,2019-11-09,12,0,0.4003,0.3323,11
115,2019-11-09,4,18,0.4559,0.2968,11
116,2019-11-09,8,1,0.5248,0.2408,11
117,2019-11-10,11,3,0.5965,0.1619,11
118,2019-11-10,19,2,0.5006,0.2392,11
119,2019-11-10,9,10,0.3757,0.3972,11
120,2019-11-23,18,16,0.2616,0.5149,12
121,2019-11-23,6,9,0.1164,0.7067,12
122,2019-11-23,0,19,0.4366,0.2954,12
123,2019-11-23,1,15,0.607,0.1857,12
124,2019-11-23,17,4,0.4488,0.2917,12
125,2019-11-23,7,13,0.6468,0.1384,12
126,2019-11-23,3,8,0.2574,0.4855,12
127,2019-11-23,10,5,0.6756,0.1476,12
128,2019-11-24,14,11,0.2804,0.4385,12
129,2019-11-25,2,12,0.4722,0.2662,12
130,2019-11-30,12,10,0.0799,0.7812,13
131,2019-11-30,5,18,0.7748,0.0821,13
132,2019-11-30,16,0,0.6622,0.1489,13
133,2019-11-30,4,6,0.4637,0.2743,13
134,2019-11-30,9,3,0.8744,0.0297,13
135,2019-11-30,15,17,0.4499,0.2984,13
136,2019-12-01,19,14,0.5073,0.2191,13
137,2019-12-01,13,1,0.2973,0.4712,13
